Pressure, Temperature, X_ch4, X_c2h6, X_c3h8, ch4_uptake, c2h6_uptake, c3h8_uptake
0.3,380,0.333,0.333,0.334,0.0000000000,0.0001000000,0.0002400000
0.3,380,0.3,0.4,0.3,0.0000000000,0.0000800000,0.0002200000
0.3,380,0.4,0.1,0.5,0.0000000000,0.0000200000,0.0004400000
0.3,380,0.4,0.2,0.4,0.0000000000,0.0000600000,0.0002400000
0.3,380,0.4,0.3,0.3,0.0000000000,0.0000600000,0.0002200000
0.3,380,0.5,0.4,0.1,0.0000000000,0.0001400000,0.0000200000
0.3,380,0.5,0.1,0.4,0.0000000000,0.0000400000,0.0003000000
0.3,380,0.6,0.1,0.3,0.0000000000,0.0000200000,0.0001400000
0.3,400,0.1,0.6,0.3,0.0000000000,0.0000400000,0.0000600000
0.3,400,0.1,0.2,0.7,0.0000000000,0.0000200000,0.0001600000
0.3,400,0.2,0.3,0.5,0.0000000000,0.0000400000,0.0000800000
0.3,400,0.2,0.5,0.3,0.0000000000,0.0000400000,0.0000600000
0.3,400,0.2,0.6,0.2,0.0000000000,0.0000400000,0.0000200000
0.3,400,0.2,0.4,0.4,0.0000000000,0.0000400000,0.0001200000
0.3,400,0.3,0.3,0.4,0.0000000000,0.0000400000,0.0001200000
0.3,400,0.3,0.2,0.5,0.0000000000,0.0000200000,0.0001200000
0.3,400,0.333,0.333,0.334,0.0000000000,0.0000400000,0.0000800000
0.3,400,0.3,0.4,0.3,0.0000000000,0.0000400000,0.0000600000
0.3,400,0.4,0.1,0.5,0.0000000000,0.0000200000,0.0001200000
0.3,400,0.4,0.2,0.4,0.0000000000,0.0000200000,0.0001000000
0.3,400,0.4,0.3,0.3,0.0000000000,0.0000600000,0.0000600000
0.3,400,0.5,0.4,0.1,0.0000000000,0.0000400000,0.0000200000
